nombre,empresa,email,telefono,whatsapp,instagram,linkedin,ciudad,pais,nicho,vertical,url,fuente,direccion,gmaps_id,fecha,status
,Puntilla Music,info@puntilla.us,(786) 741-2897,,https://www.instagram.com/puntilla.music/,,Miami,United States,sello_musical,music,http://puntilla.us/,google_maps,"122 S Miami Ave, Miami, FL 33130, EE. UU.",ChIJX19cNJy22YgR03meov13HO0,2026-09-18,pendiente
,One Music Records Inc,onemrecords@gmail.com,(786) 309-6992,,https://help.instagram.com/,,Miami,United States,sello_musical,music,https://www.instagram.com/onemrecords/?hl=es,google_maps,"4606 NW 7th Ave, Miami, FL 33127, EE. UU.",ChIJc-7y8D-x2YgRe-H2f840jlo,2026-09-18,pendiente
,Bay Eight Recording Studios Miami,,(305) 705-2405,,https://instagram.com/bayeight,,Miami,United States,sello_musical,music,https://bayeight.com/,google_maps,"15421 W Dixie Hwy Bay 8, North Miami Beach, FL 33162, EE. UU.",ChIJa4jEGZat2YgRJ3zvT5xre5A,2026-09-18,pendiente
,Lucky Records Miami,info@luckyrecordsmiami.com,(786) 300-8025,,https://www.instagram.com/luckyrecordsmiami/,,Miami,United States,sello_musical,music,http://luckyrecordsmiami.com/,google_maps,"143 NW 23rd St, Miami, FL 33127, EE. UU.",ChIJrZEg7q222YgR3mWAXH7DdYQ,2026-09-18,pendiente
,Endo Records & Music,,(305) 452-8636,,https://www.instagram.com/endorecordsmiami/,,Miami,United States,sello_musical,music,http://www.endorecords.com/,google_maps,"10577 SW 109th Ct, Miami, FL 33176, EE. UU.",ChIJc-vp7bnB2YgR5gBIBTPJy5Y,2026-09-18,pendiente
,Sweat Records,,(786) 693-9309,,https://www.instagram.com/sweatrecords/,,Miami,United States,sello_musical,music,http://www.sweatrecordsmiami.com/,google_maps,"5505 NE 2nd Ave, Miami, FL 33137, EE. UU.",ChIJG5ezF16x2YgRwF7X0aiopi0,2026-09-18,pendiente
,Found Sound Records,,(786) 360-4934,,https://www.instagram.com/foundsoundrecords/,,Miami,United States,sello_musical,music,http://www.found-sound-records.com/,google_maps,"1654 NE 123rd St, North Miami, FL 33181, EE. UU.",ChIJHwOQ-Fez2YgRnDY0uSP1YY8,2026-09-18,pendiente
,Lulo Records Warehouse Experience,,(786) 722-1170,,https://www.instagram.com/lulorecords/,,Miami,United States,sello_musical,music,http://lulorecords.com/,google_maps,"3475 NW 41st St, Miami, FL 33142, EE. UU.",ChIJxyZzQSCt2YgReu1TI7_IXsw,2026-09-18,pendiente
,Yesterday and Today Records,yandtrec@aol.com,(305) 554-1020,,https://www.instagram.com/yesterdayandtodayrecordshop/. ,,Miami,United States,sello_musical,music,http://www.vintagerecords.com/,google_maps,"9274 SW 40th St, Miami, FL 33165, EE. UU.",ChIJR5-TN7242YgRhUZJx0ymRCI,2026-09-18,pendiente
,Technique Records,,(786) 717-6622,,https://www.instagram.com/techniquerecords/?hl=en,,Miami,United States,sello_musical,music,http://www.techniquerecords.com/,google_maps,"880 NE 79th St, Miami, FL 33138, EE. UU.",ChIJYxqt4dKz2YgRVMVly4J2nkM,2026-09-18,pendiente
,T Bag Records,,,,https://help.instagram.com/,,Miami,United States,sello_musical,music,https://www.instagram.com/t_bag_records_miami/,google_maps,"212 N Miami Ave, Miami, FL 33128, EE. UU.",ChIJ3ammegC32YgRT7_NOA5T2ZU,2026-09-18,pendiente
,Whatever Music,,56 1722 6520,,,,Ciudad de Mexico,Mexico,sello_musical,music,https://whatevermusic.com.mx/contacto/,google_maps,"Londres 25, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, México",ChIJ___jRDL_0YUR5TP46-_rpPA,2026-09-18,pendiente
,LA TIENDA DEL DISCO DE VINYL,info@tiendavinyl.com,55 1048 5352,,https://www.instagram.com/,,Ciudad de Mexico,Mexico,sello_musical,music,https://latiendadeldiscodevinyl.com/,google_maps,"C. Querétaro 9-Loc B, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, México",ChIJ2ct6kyT_0YURy-CCANayw6s,2026-09-18,pendiente
,La Roma Records,,55 5264 2140,,https://www.instagram.com/laromarecords/,,Ciudad de Mexico,Mexico,sello_musical,music,http://laromarecords.com/,google_maps,"Av. Álvaro Obregón 200 Bis1, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, México",ChIJ4Z6Wpzn_0YURRhGfoJKb6aI,2026-09-18,pendiente
,Revancha,,55 5505 6394,,https://www.instagram.com/revancha_df,,Ciudad de Mexico,Mexico,sello_musical,music,https://revanchadf.com/,google_maps,"C.Colima 110, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, México",ChIJYyClpzr_0YUR13gk_ngJIOs,2026-09-18,pendiente
,Amoeba Music,,(323) 245-6400,,http://www.instagram.com/amoebahollywood,,Los Angeles,United States,sello_musical,music,https://www.amoeba.com/,google_maps,"6200 Hollywood Blvd, Los Angeles, CA 90028, EE. UU.",ChIJRdmfADq_woARYaVhnfQSUTI,2026-09-18,pendiente
,Soundsations Records,,(310) 641-8877,,,,Los Angeles,United States,sello_musical,music,http://soundsationsrecords.com/,google_maps,"8701 S La Tijera Blvd, Los Angeles, CA 90045, EE. UU.",ChIJU8dzr9KwwoARiGRVdNhPAdw,2026-09-18,pendiente
,Record Surplus,,(310) 979-4577,,https://www.instagram.com/record_surplus/,,Los Angeles,United States,sello_musical,music,https://www.recordsurplusla.com/,google_maps,"12436 Santa Monica Blvd, Los Angeles, CA 90025, EE. UU.",ChIJ62_JwUO7woARHpFTQ5EZ42s,2026-09-18,pendiente
,High Fidelity Records Inc,store@highfidelityla.com,(323) 641-0123,,,,Los Angeles,United States,sello_musical,music,http://highfidelityla.com/,google_maps,"4765 W Adams Blvd, Los Angeles, CA 90016, EE. UU.",ChIJbeC8GLDAwoARVkUZXqU48Hw,2026-09-18,pendiente
,Del Records Store,,(562) 334-3033,,,,Los Angeles,United States,sello_musical,music,https://www.delrecords.com/,google_maps,"6450 Garfield Ave, Bell Gardens, CA 90201, EE. UU.",ChIJxwRyXHfOwoARquclq1hYLAc,2026-09-18,pendiente
,The Record Parlour,,(323) 464-7757,,,,Los Angeles,United States,sello_musical,music,https://www.facebook.com/therecordparlour/,google_maps,"6408 Selma Ave, Los Angeles, CA 90028, EE. UU.",ChIJh5VWNjq_woARU24M7xPvm8Q,2026-09-18,pendiente
,Gimme Gimme Records,info@mysite.com,(323) 550-1878,,https://www.instagram.com/gimmerecords,,Los Angeles,United States,sello_musical,music,http://www.gimmegimmerecords.com/,google_maps,"5810 N Figueroa St, Los Angeles, CA 90042, EE. UU.",ChIJw7X-TBDEwoARCbMucW4tJzI,2026-09-18,pendiente
,Sonido Perpetuo,,,,,,Medellin,Colombia,manager_musical,music,,google_maps,"Cl 34 #46-20, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia",ChIJQZ7NsqQpRI4R8rnOaB6P8Rg,2026-09-18,pendiente
,Witty Management,wmanagementagency@gmail.com,320 5797968,https://wa.me/573205797968,,,Medellin,Colombia,manager_musical,music,https://wittymanagement.com/,google_maps,"Portal Del Cerro, Cra. 45A, Zona 2, Envigado, Antioquia, Colombia",ChIJVxkRVBiDRo4RJNBhbvNMceE,2026-09-18,pendiente
,Merlin Producciones,info@merlinproducciones.co,(604) 4160860,,https://instagram.com/merlinprodu,,Medellin,Colombia,manager_musical,music,http://www.merlinproducciones.co/,google_maps,"Cq. 73A #34A-122, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia, Colombia",ChIJod7CQ6IpRI4RJrKCGVlcwSM,2026-09-18,pendiente
,Video Lyrics - Marketing Musical - Agencia para artistas,,300 8279939,https://wa.me/573008279939,,,Bogota,Colombia,manager_musical,music,http://www.marketingmusical.co/,google_maps,"Cra. 50 # 79 - 85 Piso 2, Bogotá, Colombia",ChIJIXM20PCaP44Rqta3w-icMhA,2026-09-18,pendiente
,Mercado Artistas®,comercial@mercadoartistas.com,01-800-0160000,,https://www.instagram.com/mercadoartistas/?utm_source=Pagina_Web&utm_medium=WebSite_Instagram&utm_campaign=Perfiles_Sociales&utm_content=Fans-21_06_19,,Bogota,Colombia,manager_musical,music,https://mercadoartistas.com/,google_maps,"Cra 19 #100-45, Bogotá, Colombia",ChIJTbEOnVGZP44Re1DNf1AP8tg,2026-09-18,pendiente
,4D Musik,info@4dmusik.com,321 2004447,https://wa.me/573212004447,http://www.instagram.com/4DMusik,,Bogota,Colombia,manager_musical,music,http://www.4dmusik.com/,google_maps,"Cl. 145 #12 20, Bogotá, Colombia",ChIJHxh__yeFP44R5d86Ur6wFrA,2026-09-18,pendiente
,Booking & Eventos,contacto@bookingeventos.net%20,310 2040399,https://wa.me/573102040399,https://www.instagram.com/bookingeventos/,,Bogota,Colombia,manager_musical,music,http://bookingeventos.net/,google_maps,"Cra. 53 #103b-42 Oficina 708, Bogotá, Colombia",ChIJAQC8GbmaP44REzetsYmehi8,2026-09-18,pendiente
,Serenatas - Músicos en Bogotá,,312 3190990,https://wa.me/573123190990,,,Bogota,Colombia,manager_musical,music,https://serenatas.thehouserecords.com/,google_maps,"Cl. 151 #96A-21, Bogotá, Colombia",ChIJ6eqtZ1yFP44RgxzQKetxzHc,2026-09-18,pendiente
,QuieroMusicos,contacto@quieromusicos.com,300 8093404,https://wa.me/573008093404,https://instagram.com/quieromusicos,,Bogota,Colombia,manager_musical,music,http://quieromusicos.com/,google_maps,"Cl. 106 #54 78 OF 604, Suba, Bogotá, Cundinamarca, Colombia",ChIJNTsImcSaP44RHPstBxdDKPw,2026-09-18,pendiente
,Marmaz Records,info@corpmarmaz.com,318 3757495,https://wa.me/573183757495,https://www.instagram.com/corporacionmarmaz/,,Bogota,Colombia,manager_musical,music,http://www.corpmarmaz.com/,google_maps,"Tv. 19a #98-12, Bogotá, Colombia",ChIJiQbuTMSbP44RKwsxiZCSrp8,2026-09-18,pendiente
,Quántica producciones S.A.S,contacto@quanticaproducciones.com,305 4144222,https://wa.me/573054144222,https://www.instagram.com/quanticaproducciones/,,Bogota,Colombia,manager_musical,music,https://www.quanticaproducciones.com/,google_maps,"Cl. 137 #12-15, Bogotá, Colombia",ChIJA6_RIZabP44RtbCbc8KRl14,2026-09-18,pendiente
,tuToque,hola@tutoque.co,301 8079866,https://wa.me/573018079866,https://www.instagram.com/tutoqueco,,Bogota,Colombia,manager_musical,music,http://www.tutoque.com/,google_maps,"Cl. 52b #3C-31, Chapinero, Bogotá, Cundinamarca, Colombia",ChIJt-GbuESbP44RuEqhIjERW1k,2026-09-18,pendiente
,Auditorio Mayor,,322 3195901,https://wa.me/573223195901,,,Bogota,Colombia,manager_musical,music,,google_maps,"Cl. 23 #6 - 19, Bogotá, Colombia",ChIJc3gY3ZiZP44R7IXh5KIeI6o,2026-09-18,pendiente
,Llorona Records,,(601) 2117067,,https://www.instagram.com/lloronarecords/,,Bogota,Colombia,manager_musical,music,https://www.lloronarecords.com/,google_maps,"of 102/304, Cra. 9 #6181, Bogotá, Colombia",ChIJpcJaE0eaP44RRjuqOJdnyOM,2026-09-18,pendiente
,Teatro Mayor Julio Mario Santo Domingo,servicioalcliente@teatromayor.org,(601) 7944888,,https://instagram.com/teatromayor/,,Bogota,Colombia,manager_musical,music,https://www.teatromayor.org/,google_maps,"Cl. 170 #67-51, Bogotá, Colombia",ChIJN6LY4bqFP44RfUbbZU6vKic,2026-09-18,pendiente
,Creatividad en Acción S.A.S.,creatividad@creatividadenaccion.com,310 2132842,https://wa.me/573102132842,https://www.instagram.com/creatividadenaccioncol/,,Bogota,Colombia,manager_musical,music,http://creatividadenaccion.com/,google_maps,"Cl. 93a #No 14-17 Ofi 704, Bogotá, Colombia",ChIJPf1Q85KaP44RdfwRrB5t3_M,2026-09-18,pendiente
,MN2S,,(305) 600-1752,,,,Miami,United States,manager_musical,music,https://mn2s.com/contact/miami/,google_maps,"31 NE 17th St #228, Miami, FL 33132, EE. UU.",ChIJe2DE3t632YgRjXJhm3Qlx0w,2026-09-18,pendiente
,Extraordinary,sales@bookextraordinary.com,(833) 888-1798,,https://www.instagram.com/bookextraordinary,,Miami,United States,manager_musical,music,https://bookextraordinary.com/miami/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing_miami,google_maps,"848 Brickell Ave PH 5-F48, Miami, FL 33131, EE. UU.",ChIJuXM_tzW32YgRiln_hUbiLIM,2026-09-18,pendiente
,Miami Music Project,info@miamimusicproject.org,(786) 422-5221,,https://www.instagram.com/miamimusicproject/,,Miami,United States,manager_musical,music,http://miamimusicproject.org/,google_maps,"101 NW 8th St #200, Miami, FL 33136, EE. UU.",ChIJORcAHaq22YgR2tP6oF3JFNI,2026-09-18,pendiente
,Opulence Entertainment Group,events@opulencemia.com,(786) 282-3290,,https://www.instagram.com/opulencemiami/,,Miami,United States,manager_musical,music,https://www.opulencemia.com/,google_maps,"25 SE 2nd Ave Ste 1235, Miami, FL 33131, EE. UU.",ChIJsdohmOq32YgRzRup5HP_8yA,2026-09-18,pendiente
,Crosswave - Sello discográfico y productora en Buenos Aires,,011 15-2743-1935,https://wa.me/0111527431935,,,Buenos Aires,Argentina,sello_musical,music,,google_maps,"Av. Sta. Fe 2818, C1425 Cdad. Autónoma de Buenos Aires, Argentina",ChIJ8-QL8QzLvJURcB3ifzie_LY,2026-09-19,pendiente
,Music Brokers,,011 4783-2999,https://wa.me/01147832999,,,Buenos Aires,Argentina,sello_musical,music,https://mbgroupweb.com/,google_maps,"1947, ADC, Vuelta de Obligado, C1428 Cdad. Autónoma de Buenos Aires, Argentina",ChIJWR2uMtK1vJURb1xFSjna_3o,2026-09-19,pendiente
,Universal Music Group Argentina,support.umastore@umusic.com,011 5300-4000,https://wa.me/01153004000,https://www.instagram.com/umargentina/,,Buenos Aires,Argentina,sello_musical,music,https://umusicstore.com.ar/,google_maps,"Av. Coronel Marcelino E. Freyre 3650, C1425 Cdad. Autónoma de Buenos Aires, Argentina",ChIJiQUfXc21vJURVsuBxEHp0dc,2026-09-19,pendiente
,Sony Music Entertainment Argentina S.A.,,011 3988-9400,https://wa.me/01139889400,http://instagram.com/sonymusicargentina,,Buenos Aires,Argentina,sello_musical,music,http://www.sonymusic.com.ar/,google_maps,"José A. Cabrera 6027, C1414BHM Cdad. Autónoma de Buenos Aires, Argentina",ChIJOUwl_Oy1vJURskkT802sSFU,2026-09-19,pendiente
,Uriel Leandro - Productor Musical,contact@domain.com,,,https://instagram.com/sitepad,,Buenos Aires,Argentina,sello_musical,music,http://urielleandro.com/,google_maps,"Navarro 5145, C1419 Cdad. Autónoma de Buenos Aires, Argentina",ChIJxbO-SIW3vJURI-XgbugCYF0,2026-09-19,pendiente
,Epsa Music S.A.,,011 5352-4376,https://wa.me/01153524376,,,Buenos Aires,Argentina,sello_musical,music,,google_maps,"Vera 410, C1414AOJ C1414AOJ, Cdad. Autónoma de Buenos Aires, Argentina",ChIJj0kQEp3JvJURyAhRdqmg0N4,2026-09-19,pendiente
,Warner Music Argentina,,011 5352-7600,https://wa.me/01153527600,https://help.instagram.com/,,Buenos Aires,Argentina,sello_musical,music,https://www.instagram.com/warnermusicarg,google_maps,"El Salvador 5671, C1414BQE, C1414 BQE, Cdad. Autónoma de Buenos Aires, Argentina",ChIJ_ywPecfKvJURaA5AsvssAGI,2026-09-19,pendiente
,NegrosCreadoresMusic,,011 2860-9237,https://wa.me/01128609237,,,Buenos Aires,Argentina,sello_musical,music,https://www.facebook.com/negroscreadoresmusic,google_maps,"C1170 Cdad. Autónoma de Buenos Aires, Argentina",ChIJY4Vxuj7LvJURJapBENwM2Jo,2026-09-19,pendiente
,The Music Callejon,,,,,,Madrid,Spain,sello_musical,music,https://the-music-callejon.ueniweb.com/?utm_campaign=gmb,google_maps,"C/ Gabriel Lobo, Chamartín, 28002 Madrid, España",ChIJuzEXfzYpQg0Rq1haKLaljZg,2026-09-19,pendiente
,Subterfuge Records S.L.,,917 00 00 36,,https://www.instagram.com/subterfugefiles/,,Madrid,Spain,sello_musical,music,http://www.subterfuge.com/,google_maps,"Calle del Almirante, 30, Centro, 28004 Madrid, España",ChIJZbSmtJooQg0RPScHYxQtEdA,2026-09-19,pendiente
,Las Musas Music |Consultoría|Asesoría|Editorial Musical y Discográfica en Madrid,,641 46 81 03,,,,Madrid,Spain,sello_musical,music,http://www.lasmusasmusic.com/,google_maps,"C. de Sta. Saturnina, 21, 7d, Carabanchel, 28019 Madrid, España",ChIJfbrWxYwnQg0RKyB1HkFCWss,2026-09-19,pendiente
,Goner Music Entertainment,,919 93 23 02,,,,Madrid,Spain,sello_musical,music,https://gonermusic.com/,google_maps,"C/ San Roque, 4, 28710 El Molar, Madrid, España",ChIJsbitS1DbQw0R0EBCbjU2BBc,2026-09-19,pendiente
,Orpheus,info@orpheusclassical.com,606 67 52 98,,,,Madrid,Spain,sello_musical,music,http://www.orpheusclassical.com/,google_maps,"Gran Vía, 6, Centro, 28013 Madrid, España",ChIJf02Ln4YoQg0RQ4lBqT_f3gs,2026-09-19,pendiente
,Chincola Records,contacto@chincolarecords.cl,9 3203 4830,,https://www.instagram.com/chincolarecords/,,Santiago,Chile,sello_musical,music,https://www.chincolarecords.cl/,google_maps,"Florencio Barrios 1268, 7550000 Las Condes, Región Metropolitana, Chile",ChIJt0Ze2MPPYpYR8rfsT2L9lX8,2026-09-19,pendiente
,Disqueria Indie Records,,(2) 2673 4889,,,,Santiago,Chile,sello_musical,music,https://www.facebook.com/DisqueriaIndieRecords/,google_maps,"Paseo Ahumada 85, Loc 0118, 8320312 Santiago, Región Metropolitana, Chile",ChIJpTQGxzXFYpYRLPjnJOlO3f8,2026-09-19,pendiente
,Altoque Records - Discotienda y Cultura Musical,,9 5520 9745,,https://www.instagram.com/altoquerecords/,,Santiago,Chile,sello_musical,music,https://altoquerecords.cl/,google_maps,"Av. Italia 1206, 7501297 Providencia, Región Metropolitana, Chile",ChIJI1-sIDXFYpYRYHt-XSHSGLI,2026-09-19,pendiente
,Master Media,demogardening@gmail.com,9 4268 3962,,https://www.instagram.com/mastermedia_chile/,,Santiago,Chile,sello_musical,music,https://mastermediamusic.cl/,google_maps,"San Pío X 2445, Ofi 203, 7500000 Providencia, Región Metropolitana, Chile",ChIJXYBi_SxdnIMRfpcwOchLdgY,2026-09-19,pendiente
,Lima Set Sound,,955 483 365,,,,Lima,Peru,sello_musical,music,,google_maps,"Jirón Manuel Candamo 286, Lince 15046, Perú",ChIJQfn9QaDJBZERRwBp3aFm_dc,2026-09-19,pendiente
,Infopesa - Sello discográfico y Tienda de Música Peruana,infopesa@infopesa.com,(01) 4332016,,https://www.instagram.com/infopesa/,,Lima,Peru,sello_musical,music,https://www.infopesa.com/,google_maps,"Av Horacio Urteaga 1156 - 301, Jesús María 15072, Perú",ChIJxz1aAuXIBZERduzitGovAMk,2026-09-19,pendiente
,Vinyl Sound Peru,,957 278 181,,https://www.instagram.com/vinylsoundperu/,,Lima,Peru,sello_musical,music,https://vinylsoundperu.wordpress.com/,google_maps,"Lima 31 Lima, San Martín de Porres LIMA 31, Perú",ChIJK0cphOXRBZERo-weDHWw8fo,2026-09-19,pendiente
,GOLDEN TRACK PERÚ,,966 429 379,,,,Lima,Peru,sello_musical,music,https://www.goldentrackperu.com/,google_maps,"Jr. Hatun Colla 2079 - Mangomarca, San Juan de Lurigancho 15427, Perú",ChIJK9B7LrnFBZERRcl0GILVMhU,2026-09-19,pendiente
,BLACKSTAR,,966 365 366,,https://help.instagram.com/,,Lima,Peru,sello_musical,music,https://www.instagram.com/blackstar.records/,google_maps,"Of.901, Calle Porta 130, Miraflores LIMA 23, Perú",ChIJ14iMdi_JBZERk70bKJ8spRM,2026-09-19,pendiente
,Music World PR,,(787) 957-5332,,https://www.instagram.com/musicworld.pr/,,San Juan,Puerto Rico,sello_musical,music,http://www.musicworldpr.com/,google_maps,"Edif. National Plaza, 431, 431 Av. de la Constitución Suite 1605, San Juan, 00917, Puerto Rico",ChIJVyfbGz1vA4wR_qWaCKvxEXA,2026-09-19,pendiente
,Play Music Panama,info@playmusicpanama.com,6070-1488,,https://www.instagram.com/playmusicpanama/,,Panama,Panama,sello_musical,music,https://www.playmusicpanama.com/,google_maps,"Panamá, Tocumen Residencial Punta del Este Calle 1ra, Casa A37, Panamá, Provincia de Panamá, Panamá",ChIJQdXfwMhUq48RTdlM_8l0EPc,2026-09-19,pendiente
,Hooks PA,hola@hookspa.com,6450-6828,,https://www.instagram.com/hookspanama/,,Panama,Panama,sello_musical,music,http://www.hookspa.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=1324755075391083192,google_maps,"PH Parque Urracá, de la plaza comercial, a un lado de El Apartamento y El Sotano, Av. Federico Boyd, Panamá, Provincia de Panamá, Panamá",ChIJu4CofJ-prI8R_V57ctI5SHI,2026-09-19,pendiente
,Longplay,,6820-6839,,,,Panama,Panama,sello_musical,music,https://www.mylongplay.com/,google_maps,"Plaza Caesar, Av. Los Fundadores, con Calle 76 Este (Paul Harris) Local PB2, Panamá, Provincia de Panamá, Panamá",ChIJQQTQGQaprI8RyWTSE9Kc7ng,2026-09-19,pendiente
,"Vinyl Panama Discotienda Discos de Vinilo / Records Store / Cd s Vinyl s y Música , LP s",,6218-3984,,,,Panama,Panama,sello_musical,music,,google_maps,"Clayton, Panamá, Provincia de Panamá, Panamá",ChIJNXggeXKprI8R_MD5Kt8WYNg,2026-09-19,pendiente
,Pro MarC Music,info@divielectric.com,6010-3823,,,,Panama,Panama,sello_musical,music,http://www.promarcmusic.com/,google_maps,"Claroscuro Media, C. 72 Este piso 1, Panamá, Provincia de Panamá, Panamá",ChIJZfUMFriprI8RRZ8FkobjkYY,2026-09-19,pendiente
,LatinOL,,395-7373,,https://instagram.com/latinol,,Panama,Panama,sello_musical,music,http://www.latinol.com,google_maps,"Marbella Calle 54 Local Marcha Systems Piso 2, Panamá, Provincia de Panamá, Panamá",ChIJ4TAxgQCprI8RkcFq7JFJUzg,2026-09-19,pendiente
,Witty Management,contacto@wittymanagement.com,320 5797968,https://wa.me/573205797968,,,Medellin,Colombia,manager_musical,music,https://wittymanagement.com/,google_maps,"Portal Del Cerro, Cra. 45A, Zona 2, Envigado, Antioquia, Colombia",ChIJVxkRVBiDRo4RJNBhbvNMceE,2026-09-21,pendiente
,Merlin Producciones,nfo@merlinproducciones.co,(604) 4160860,,https://instagram.com/merlinprodu,,Medellin,Colombia,manager_musical,music,http://www.merlinproducciones.co/,google_maps,"Cq. 73A #34A-122, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia, Colombia",ChIJod7CQ6IpRI4RJrKCGVlcwSM,2026-09-21,pendiente
,MACRO SHOW Tienda Musical,,099 530 0669,,,,Bogota,Colombia,manager_musical,music,,google_maps,"Av. Daniel León Borja 3211, Riobamba, Ecuador",ChIJV3alECeo05ERG6V5kWwGoGo,2026-09-21,pendiente
,Conciertos en Cali,,311 7365982,https://wa.me/573117365982,,,Cali,Colombia,manager_musical,music,https://conciertosencali.com/,google_maps,"Cra. 100 #11-60, Ciudad Jardín, Cali, Valle del Cauca, Colombia",ChIJy4ZqWu-hMI4Rio_9BGB9ITo,2026-09-21,pendiente
,El colectivo,elcolectivoescuelademusica@gmail.com,3764651,,,,Cali,Colombia,manager_musical,music,https://elcolectivoescuela.com/,google_maps,"Cra. 9 #4 - 18, COMUNA 3, Cali, Valle del Cauca, Colombia",ChIJJ_qU1XymMI4RTcB0HPNen7c,2026-09-21,pendiente
,Sala Antonio María Valencia (Antigua Sala Beethoven),ventanillaunica@bellasartes.edu.co,(602) 6203333,,https://www.instagram.com/bellasartescali/,,Cali,Colombia,manager_musical,music,http://www.bellasartes.edu.co/,google_maps,"1 a 123, Av. 1 Nte., San Pedro, Cali, Valle del Cauca, Colombia",ChIJr5QVQ2WmMI4RWAbpZHWacAs,2026-09-21,pendiente
,Farallones Music,directorgeneral@farallonesmusic.com,315 6834100,https://wa.me/573156834100,,,Cali,Colombia,manager_musical,music,https://www.farallonesmusic.com/,google_maps,"C.Ccial Paseo de la Quinta, Cl. 5 #46-83 L-139, Cali, Valle del Cauca, Colombia",ChIJYRGnBnCmMI4RtCZ74Tde9G8,2026-09-21,pendiente
