nombre,empresa,email,telefono,whatsapp,instagram,linkedin,ciudad,pais,nicho,vertical,url,fuente,direccion,gmaps_id,fecha,status
,Harbour Dental Centre,smile@harbourdental.com,(416) 214-9119,,https://www.instagram.com/explore/locations/397154859/harbour-dental-centre/,,Toronto,Canada,odontologos,empresas,https://dentalcentres.com/,google_maps,"12 Yonge St #8, Toronto, ON M5E 1Z9, Canadá",ChIJJ3bplCvL1IkRvuU1Cl385K8,2026-09-18,pendiente
,T-DOT Dental,info@tdotdental.ca,(647) 490-8382,,https://www.instagram.com/TDOT_Dental/,,Toronto,Canada,odontologos,empresas,https://tdotdental.ca/,google_maps,"5 Grenville St, Toronto, ON M4Y 1X5, Canadá",ChIJrxXxFMM1K4gRUxYjH6aqvBU,2026-09-18,pendiente
,Dental Land Summerhill,info@dentalland.ca,(416) 672-1000,,https://www.instagram.com/dentalland.summerhill/,,Toronto,Canada,odontologos,empresas,https://dentalland.ca/,google_maps,"1221 Yonge St, Toronto, ON M4T 1W4, Canadá",ChIJVZLn2iUzK4gReXsoo7aNOeg,2026-09-18,pendiente
,Celedent | Consultorio Odontológico en Recoleta | Dra. Yaraibelt López,info@celedent.com.ar,011 15-3874-9345,https://wa.me/0111538749345,https://www.instagram.com/celedent.ar/,,Buenos Aires,Argentina,odontologos,empresas,https://www.celedent.com.ar/,google_maps,"Av. Córdoba 966 Piso 5, Depto E, C1054 Cdad. Autónoma de Buenos Aires, Argentina",ChIJH5BhtyHLvJURrCmNBUrjxtE,2026-09-18,pendiente
,Dental Woda,rrhh@dentalwoda.com.ar,011 7362-4454,https://wa.me/01173624454,,,Buenos Aires,Argentina,odontologos,empresas,http://dentalwoda.com.ar/,google_maps,"Marcelo Torcuato de Alvear 2163 5to piso, C1122 Cdad. Autónoma de Buenos Aires, Argentina",ChIJTRUXBGPLvJURC4tpg2bLQFw,2026-09-18,pendiente
,Odontología Implantes y Ortodoncia Dra. Gomez Elizabeth,tomo.od.gomez@gmail.com,011 7009-4738,https://wa.me/01170094738,https://www.instagram.com/dra.gomez.elizabeth/,,Buenos Aires,Argentina,odontologos,empresas,https://dra-gomez.com.ar/,google_maps,"Av. Corrientes 525, C1043 Cdad. Autónoma de Buenos Aires, Argentina",ChIJDZsiUVvLvJURX2dtmJDXStE,2026-09-18,pendiente
,SM Odontología,info@sm-odontologia.com,2759-0154,,https://www.instagram.com/odontsm/,,Buenos Aires,Argentina,odontologos,empresas,https://sm-odontologia.com/,google_maps,"Av. Córdoba 2077, C1120 Cdad. Autónoma de Buenos Aires, Argentina",ChIJ7y_Bz1XLvJURHO_w7p2ktDw,2026-09-18,pendiente
,Eh Odontología,ehodontologiaintegral@gmail.com,011 2250-7466,https://wa.me/01122507466,https://www.instagram.com/ehodonto/,,Buenos Aires,Argentina,odontologos,empresas,https://ehodontologia.com/,google_maps,"Paraná 754, C1017 Cdad. Autónoma de Buenos Aires, Argentina",ChIJd2Eiu_LLvJURX7w3mfUE-wY,2026-09-18,pendiente
,FES Odontología - Od. Micaela Britos y Equipo,fesconsultorios@gmail.com,,,https://www.instagram.com/fes.odonto,,Buenos Aires,Argentina,odontologos,empresas,https://www.micaelabritosodontologia.com.ar/,google_maps,"Suipacha 356 Piso 3 C, C1008 Cdad. Autónoma de Buenos Aires, Argentina",ChIJwyRNMpDLvJURUjsr1boZk8o,2026-09-18,pendiente
,DentalDom - Odontología a Domicilio,info@dentaldom.com.ar,011 3626-1919,https://wa.me/01136261919,,,Buenos Aires,Argentina,odontologos,empresas,http://www.dentaldom.com.ar/,google_maps,"José A. Cabrera 3956, C1186 Cdad. Autónoma de Buenos Aires, Argentina",ChIJrR_00oe1vJURabP-WL1HRug,2026-09-18,pendiente
,GETS Odontología,info@getsodontologia.com.ar,011 15-2250-2536,https://wa.me/0111522502536,https://www.instagram.com/gets.odontologia/,,Buenos Aires,Argentina,odontologos,empresas,https://getsodontologia.com.ar/,google_maps,"ABE, Paunero 2765, C1425 C1084ABE, Cdad. Autónoma de Buenos Aires, Argentina",ChIJhxoft4K1vJURSEpJFsBQk6s,2026-09-18,pendiente
,Zuro Dental,hola@zurodental.com.ar,011 7078-0570,https://wa.me/01170780570,https://instagram.com/zurodental,,Buenos Aires,Argentina,odontologos,empresas,https://www.zurodental.com.ar/?utm_source=google_business_profile&utm_medium=organic&utm_campaign=ficha_marcelo_t,google_maps,"Marcelo Torcuato de Alvear 2345 1º A, C1122AAK Cdad. Autónoma de Buenos Aires, Argentina",ChIJZfo27APLvJURM2ydZZk-mJ4,2026-09-18,pendiente
,Odontología Villa Urquiza®,info@odontologiavillaurquiza.com.ar,011 4523-7423,https://wa.me/01145237423,https://www.instagram.com/odontologiavillaurquiza/,,Buenos Aires,Argentina,odontologos,empresas,https://odontologiavillaurquiza.com.ar/,google_maps,"Av. Olazábal 5105 5 piso, Depto 49, C1431CGH Cdad. Autónoma de Buenos Aires, Argentina",ChIJgfWnNtO3vJURLDLN3iP9DCg,2026-09-18,pendiente
,Odontologia COAM - Dr Montoby Agustín,coam.odontologiaestetica@gmail.com,011 2742-3130,https://wa.me/01127423130,https://www.instagram.com/odontologia_coam/,,Buenos Aires,Argentina,odontologos,empresas,https://odontologiacoam.com.ar/,google_maps,"C. Pres. Jose E. Uriburu 1070, C1114 Cdad. Autónoma de Buenos Aires, Argentina",ChIJORCTFJHKvJURXf2MaRlKpu0,2026-09-18,pendiente
