nombre,empresa,email,telefono,instagram,linkedin,ciudad,pais,nicho,vertical,url,fuente,fecha,status,oyentes,reproducciones,engagement_por_oyente,generos
,Clínica Emmsa,,,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Clínica Laser De Piel,,,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Salud total,,,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Suxi Medical,,,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Incodol,,,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Clínica de Oncología Astorga,,,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Consultorio Medico,,,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Salud en casa EPS Sura,,,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Centro medico a 67,,,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,SURA Comfama,,,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,IPS Universitaria,,,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Salud Visual San Diego,,,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Centro de salud Enciso,,,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Centro Médico San Camilo,,+57 3018226,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,IPS universitaria Leon XIII,,,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Centro de Salud Carpinello,,+57 604 5285559,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Metrosalud Enciso,,+57 604 2842434,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Centro de Salud Pablo Vi,,+57 4 4611213;+57 4 4618918,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Supinar Fisioterapia,,+57 604 4448682,https://www.instagram.com/supinarips/,,Medellin,Colombia,fisioterapeuta,empresas,https://www.supinarips.com.co/,openstreetmap,2026-09-17,pendiente,,,,
,Fisioterapia,,,,,Medellin,Colombia,fisioterapeuta,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Wakeup Rehabilitación Funcional,,,,,Medellin,Colombia,fisioterapeuta,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Centro Odontológico Medici,,+57 302 6397083,,,Medellin,Colombia,odontologos,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Mundo sonrisas,,,,,Medellin,Colombia,odontologos,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,DentiSalud,,,,,Medellin,Colombia,odontologos,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Consultorio Odontológico Dental Social,,,,,Medellin,Colombia,odontologos,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,IDentall,,,,,Medellin,Colombia,odontologos,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Paola Muñoz,,,,,Medellin,Colombia,odontologos,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Odontologia General y Especializada,,,,,Medellin,Colombia,odontologos,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Odontologia Especializada,,,,,Medellin,Colombia,odontologos,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Odontochinca,,,,,Medellin,Colombia,odontologos,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Odontología Coral,,,,,Medellin,Colombia,odontologos,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Delima Marsh,,,,,Medellin,Colombia,seguros,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Delima,,,,,Medellin,Colombia,seguros,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Seguros Sura,,,,,Medellin,Colombia,seguros,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Mapfre,,,,,Medellin,Colombia,seguros,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Aseguradora Solidaria de Colombia,,,https://www.instagram.com/solidariaco/,,Medellin,Colombia,seguros,empresas,https://aseguradorasolidaria.com.co/,openstreetmap,2026-09-17,pendiente,,,,
,Auros,,,,,Medellin,Colombia,seguros,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Seguros Suramericana,,,,,Medellin,Colombia,seguros,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,sura,,,,,Medellin,Colombia,seguros,empresas,,openstreetmap,2026-09-17,pendiente,,,,
